Beatmap,SR
1007800 | MEME LEGENDS - KAC 2016 -HISTORIA QUIT BLUVOLTEX- [jestem slodki lubie kotki],7.5428
2197981 | Over the Fullereneshift [Second Impact 1.4x],7.5381
4021543 | 414 PER SPEED (Game Ver.) [Divine Testament],7.5311
1819998 | Naruto RMX [Tsukuyomi 1.1x],7.5307
4584947 | Dat Phonk [GET DOWN [0.95]],7.5282
2511368 | LTD Pack [Skan - Sadaweya (feat. Highdiwaan)],7.5259
1641718 | Ragnarok [- WORLD END -],7.5242
3032790 | LTD Pack [Camellia - BRACE FOR FRICKING IMPACT],7.5222
"4809367 | comet casting capsule (""catching celestial clusters"" Long Version) [crystal chamber combustion]",7.5217
3514858 | Me Tengo Que Ir [1.2],7.5195
4059782 | Chimera [Antinomy],7.5159
"4793983 | Mare Nectaris (Camellia's ""Ingenii"" Remix) [4K Celestial Reckoning]",7.5146
2414494 | Edison [Challenge 1.25],7.5129
1251235 | Trouble Kuroneko Man'yuuki [Ayumu's Trouble 1.3x],7.5087
3957479 | Can You Feel My Heart (Cut Ver.) [Anguish 1.05x (134bpm)],7.5087
4303123 | Catch the Glory [Grand Finale],7.5015
"4731897 | comet casting capsule (""catching celestial clusters"" Long Version) [stellar blazing forge]",7.4986
2690149 | Lemon Tree (Lemon Dance) [Challenge],7.4938
716700 | slavik goblins [Extreme],7.4894
4713750 | TERRAFORGE [EVOLUTION],7.4849
3498612 | Las Avispas [Picadura [160]],7.4805
4210848 | Unmeiron [Ephesians],7.4783
2877369 | STRONG 280 [POWERFUL 280 x0.95],7.4778
2333884 | White Hair Little Swords Girl [Youmu's Dream 0.9x],7.4776
4311938 | LIGHT LEFT BEHIND [AND IN THE DARKNESS BIND THEM],7.4772
3889547 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.2x (240bpm)],7.4663
3454807 | Pacific Girls [Fullerene- 1.4x],7.4653
3090619 | unravel [escapist 1.1x (149bpm)],7.4634
563155 | Yolomania Vol. 3A [Anthony Donato - The 8th Era (Short Cut) [rCaliberGX] 22],7.4560
1044355 | Blue Zenith [Act VI. Challenge],7.4547
4483379 | Roars of V.E.N.G.E.A.N.C.E -Take Back Everything- [Warrior],7.4536
2650375 | H.A.R.D.C.O.R.E. [Hell [1.1x Rate]],7.4525
4009279 | Hylotl's LN Collection [Silentroom - Shuu no Hazama],7.4523
3672144 | GHOUL [Spiritual Disaster 1.4x],7.4457
2476308 | Hysteric Night Girl feat. Such (android52 Edit) [whiskey [1.4x Rate]],7.4439
2767506 | Staple On Smile [Extreme 1.2x],7.4436
4255232 | To the Hellfire [Put me to rest],7.4411
3473680 | Do It To It (feat. Cherish) [1.2x],7.4410
2125569 | Architecture [Death],7.4384
3587304 | Starflight [Supernova],7.4330
4164248 | ISCHEZAYU (Lieless FRENCHCORE BOOTLEG) [x1.4],7.4285
3575842 | Deadly force - Put an end [Immeasurable Momentum],7.4222
4766898 | daddy can change [men],7.4211
2889382 | Karma [Gloom x1.3],7.4208
4388242 | Mood Breaker [LN Breaker 1.2x],7.4183
1938169 | Cyber Inductance (Speed Up Ver.) [NB4 1.4x],7.4164
1864667 | beepbit * futures [cosmonaut],7.4162
2357901 | Triumphal Return [dou-jack 1.1],7.4145
"2926742 | Lowermost revolt (""Jeremiad"" Long ver.) [4K // Virtue-'s -RE : E[V]OLUTiON-]",7.4122
3988022 | BEYOND [LN Aurora Australis],7.4033
4303116 | Kamiari Algorithm (katagiri Bootleg) [kami x1.15],7.4025
1007801 | MEME LEGENDS - SUCC 2016 -HISTORIA QUIT BLUVOLTEX- [GRASHITY],7.3991
4315263 | SUIKINKUTSU (feat. Uehara Hiromi) [1.4x],7.3934
777348 | PEACE BREAKER [FINAL PUNISHMENT],7.3929
2442481 | Sendan Life (katagiri Bootleg) [Chord Life [150]],7.3924
4101334 | astrid [reminisce],7.3892
4853621 | CosmographY [Astronomical],7.3859
1347530 | Precious You* (TV Size) [Top-drawer / x1.2],7.3854
3782698 | Reap What You Sow [1.1],7.3850
4009278 | Hylotl's LN Collection [SHK - Identity Part 5],7.3800
4311928 | Cortex Charger [Electrocution],7.3777
3322182 | BLUE ARMY (Raytoly's Progressive Hardcore Sped Up Edit) [UNFORGIVING ASSAULT],7.3771
