Beatmap,SR,Objects,Variety,Spikiness
2414494 | Edison [Challenge 1.25],7.5902,2509,2.7882,1.0310
3454813 | Pacific Girls [IcyWorld 1.35x],7.5895,5898,2.2826,0.9481
"4766471 | 1,000,000 TIMES [Unmei x1.4]",7.5801,4537,2.9034,1.0040
3379606 | Yatsume Ana [<!> [x1.2]],7.5788,4175,2.5132,0.9808
3341782 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x0.95],7.5784,7909,3.0331,0.9254
2793588 | far in the blue sky... [42 [0.95]],7.5766,3167,2.8566,1.0521
1441122 | Highscore [Achievement! [x1.4]],7.5672,2730,3.0872,1.1090
3227232 | Mood Breaker [Jack Breaker 1.4x],7.5662,2675,2.6858,1.0015
3514858 | Me Tengo Que Ir [1.2],7.5605,4723,3.1357,1.0074
2794753 | Embraced by the Flame [Ifrit (280bpm)],7.5558,3986,2.8435,1.0474
4303117 | Kamiari Algorithm (katagiri Bootleg) [kami x1.20],7.5543,2558,2.7575,0.9358
3645839 | The Empress [MASSACRE],7.5453,5884,2.6102,0.9790
3718969 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.3x Rate]],7.5451,4910,2.4677,1.0039
3111688 | M-A [IcyWorld's Expert Lv.15 1.4x],7.5445,2186,2.4149,0.9523
"4809367 | comet casting capsule (""catching celestial clusters"" Long Version) [crystal chamber combustion]",7.5402,4370,3.5930,1.0078
2197981 | Over the Fullereneshift [Second Impact 1.4x],7.5374,3677,2.9862,1.0102
4303123 | Catch the Glory [Grand Finale],7.5373,6492,3.6824,0.9923
1864667 | beepbit * futures [cosmonaut],7.5324,3042,3.0621,1.0596
2827579 | ch3rry [Sar4CORE! [1.3x Rate]],7.5283,3640,2.6647,0.9630
3957479 | Can You Feel My Heart (Cut Ver.) [Anguish 1.05x (134bpm)],7.5224,2036,2.9778,1.0733
3065262 | Break [Smash 1.1x],7.5219,1973,2.4860,1.0104
3976253 | Fallen Symphony [Incomprehensible Musicality],7.5207,8753,3.1443,1.0140
"4793983 | Mare Nectaris (Camellia's ""Ingenii"" Remix) [4K Celestial Reckoning]",7.5200,5035,3.1429,1.0339
2408832 | Zombie Sunset [Apocalypse [1.4x Rate]],7.5177,2544,3.4135,1.1208
4706643 | EVERYTHING BLACK feat. RATIRL [Lieless FRENCHCORE BOOTLEG] (Sped Up & Cut Ver.) [EDGY DIFFNAME],7.5148,1683,2.7903,1.0488
1896833 | DaemonophobiA [Kowagaru],7.5147,10678,2.4894,0.9846
4021543 | 414 PER SPEED (Game Ver.) [Divine Testament],7.5107,2455,3.3398,1.0417
1282857 | Her Majesty [Another 1.4x],7.5081,1991,2.5386,1.0232
3315957 | Kitsune no Yomeiri [Fox [150]],7.5077,2871,2.2375,0.9300
3696104 | KLASSIKER EINHEIT [Challenge 1.4x],7.5074,4160,2.3957,0.9510
"4731897 | comet casting capsule (""catching celestial clusters"" Long Version) [stellar blazing forge]",7.5019,4708,3.3492,0.9915
4713750 | TERRAFORGE [EVOLUTION],7.5008,7527,3.7966,1.0286
4476908 | Bluenation [1.45x],7.5004,4981,2.3235,0.9592
"4009266 | Hylotl's LN Collection [Camellia as ""fluX Xroise"" - Xronier (""geneXe"" Long ver.)]",7.4992,5705,3.2754,0.9876
4059782 | Chimera [Antinomy],7.4961,7255,3.1279,0.9670
3090619 | unravel [escapist 1.1x (149bpm)],7.4924,3623,3.2631,1.0016
